Kod_powiat,Wskaznik zanieczyszczenie powietrza,Liczba pojazdów samochodowych,udział powierzchni gminnych terenów zieleni w powierzchni danej jednostki terytorialnej,Powierzchnia gruntów leśnych,Powierzchnia powiatu w hektarach,Ludnośc na 1km2,Srednie wynagrodzenie,Drogi o nawierzchni twardej w km
0807,46.4,37802,0.1,511.27,117794,29,6018.27,137.5
2810,46.4,40493,0.0,2387.58,106467,45,5996.73,105.1
0215,46.5,72361,0.1,246.88,52411,147,6871.32,113.4
0409,46.5,49169,0.0,1037.94,67515,65,6386.99,225.8
0610,46.5,60927,0.1,3974.27,63661,88,10420.06,416.9
2814,46.5,114373,0.0,7393.36,283807,46,6561.71,420.2
0202,46.57142857,82316,0.3,280.23,47851,200,6459.49,306.0
1204,46.57142857,55920,0.0,2925.53,53024,109,6065.58,679.0
0603,46.66666667,90164,0.0,7802.10,188090,40,5793.46,862.0
3016,46.66666667,63216,0.1,1496.58,71104,83,6446.61,212.4
0619,46.75,45222,0.0,9782.59,125643,28,6000.38,225.3
1207,46.83333333,121616,0.0,22978.80,95124,138,5935.46,928.3
2004,46.83333333,39891,0.0,8845.31,96749,46,6782.16,433.8
2806,46.83333333,45290,0.0,2237.85,111952,48,6247.30,193.3
0407,46.88888889,139898,0.2,1378.79,122526,124,6449.06,546.5
0226,47,40467,0.0,738.32,57587,71,7310.37,223.6
1401,47,47167,0.0,6231.28,63911,51,6300.44,316.5
1606,47,42345,0.2,830.63,74798,56,6620.13,155.3
2601,47,77926,0.1,6139.79,96790,71,6202.45,678.3
2861,47,82975,1.1,519.75,7982,1423,6801.75,74.3
3019,47,127999,0.1,2445.79,126602,104,6794.93,499.3
2817,47.125,62881,0.0,5401.32,193324,35,6197.95,268.5
0410,47.2,78742,0.0,2583.66,112045,74,6603.55,358.5
1407,47.28571429,66780,0.0,10999.22,91595,63,8404.56,370.4
1205,47.3,89702,0.0,8172.31,96632,109,5761.59,905.9
0203,47.33333333,66048,0.3,718.50,44326,193,6660.0,306.4
0608,47.38461538,84898,0.0,13551.46,128868,66,5894.65,531.7
